i_adc_measurements	float32_t [512]	0x20001210 <i_adc_measurements>	
	[0...99]	float32_t [100]	0x20001210 <i_adc_measurements>	
		i_adc_measurements[120]	float32_t	-0.340728998	
		i_adc_measurements[121]	float32_t	0.18532604	
		i_adc_measurements[122]	float32_t	0.172184467	
		i_adc_measurements[123]	float32_t	-0.286745667	
		i_adc_measurements[124]	float32_t	-0.122309685	
		i_adc_measurements[125]	float32_t	0.0866966248	
		i_adc_measurements[126]	float32_t	0.198825836	
		i_adc_measurements[127]	float32_t	0.00124740601	
		i_adc_measurements[128]	float32_t	-0.154432535	
		i_adc_measurements[129]	float32_t	-0.0212562084	
		i_adc_measurements[130]	float32_t	0.131465912	
		i_adc_measurements[131]	float32_t	0.101980209	
		i_adc_measurements[132]	float32_t	-0.111093521	
		i_adc_measurements[133]	float32_t	-0.0738806725	
		i_adc_measurements[134]	float32_t	-0.0636131763	
		i_adc_measurements[135]	float32_t	0.00829613209	
		i_adc_measurements[136]	float32_t	0.242694557	
		i_adc_measurements[137]	float32_t	-0.00793015957	
		i_adc_measurements[138]	float32_t	-0.243192762	
		i_adc_measurements[139]	float32_t	-0.000613510609	
		i_adc_measurements[140]	float32_t	0.0686334968	
		i_adc_measurements[141]	float32_t	0.0863751024	
		i_adc_measurements[142]	float32_t	0.066093117	
		i_adc_measurements[143]	float32_t	-0.15489459	
		i_adc_measurements[144]	float32_t	-0.0663732141	
		i_adc_measurements[145]	float32_t	0.0722116008	
		i_adc_measurements[146]	float32_t	-0.00776691362	
		i_adc_measurements[147]	float32_t	0.0650357455	
		i_adc_measurements[148]	float32_t	0.0624066293	
		i_adc_measurements[149]	float32_t	-0.0834112018	
		i_adc_measurements[150]	float32_t	0.00211545825	
		i_adc_measurements[151]	float32_t	-0.0223770291	
		i_adc_measurements[152]	float32_t	-0.198908061	
		i_adc_measurements[153]	float32_t	0.0701894164	
		i_adc_measurements[154]	float32_t	0.36625582	
		i_adc_measurements[155]	float32_t	0.207937092	
		i_adc_measurements[156]	float32_t	-0.198691741	
		i_adc_measurements[157]	float32_t	-0.601288855	
		i_adc_measurements[158]	float32_t	-1.0597415	
		i_adc_measurements[159]	float32_t	1.27248406	
		i_adc_measurements[160]	float32_t	1.93468702	
		i_adc_measurements[161]	float32_t	-2.94500256	
		i_adc_measurements[162]	float32_t	-0.775521398	
		i_adc_measurements[163]	float32_t	3.1528101	
		i_adc_measurements[164]	float32_t	0.112807646	
		i_adc_measurements[165]	float32_t	-1.11447489	
		i_adc_measurements[166]	float32_t	-0.359939635	
		i_adc_measurements[167]	float32_t	-0.103952803	
		i_adc_measurements[168]	float32_t	0.0708263218	
		i_adc_measurements[169]	float32_t	0.215034649	
		i_adc_measurements[170]	float32_t	0.230101123	
		i_adc_measurements[171]	float32_t	-0.00577716529	
		i_adc_measurements[172]	float32_t	-0.256629378	
		i_adc_measurements[173]	float32_t	-0.255254	
		i_adc_measurements[174]	float32_t	0.0113381743	
		i_adc_measurements[175]	float32_t	0.200564116	
		i_adc_measurements[176]	float32_t	0.323180258	
		i_adc_measurements[177]	float32_t	0.002442047	
		i_adc_measurements[178]	float32_t	-0.399943352	
		i_adc_measurements[179]	float32_t	-0.091085054	
		i_adc_measurements[180]	float32_t	0.181438208	
		i_adc_measurements[181]	float32_t	0.0778006315	
		i_adc_measurements[182]	float32_t	-0.0212424099	
		i_adc_measurements[183]	float32_t	-0.085650444	
		i_adc_measurements[184]	float32_t	0.0599724948	
		i_adc_measurements[185]	float32_t	0.0568621308	
		i_adc_measurements[186]	float32_t	-0.0923542082	
		i_adc_measurements[187]	float32_t	-0.0525958538	
		i_adc_measurements[188]	float32_t	0.0178022385	
		i_adc_measurements[189]	float32_t	0.122508645	
		i_adc_measurements[190]	float32_t	0.135617852	
		i_adc_measurements[191]	float32_t	-0.162935257	
		i_adc_measurements[192]	float32_t	-0.200401798	
		i_adc_measurements[193]	float32_t	0.120176479	
		i_adc_measurements[194]	float32_t	0.0968862474	
		i_adc_measurements[195]	float32_t	0.0291392915	
		i_adc_measurements[196]	float32_t	0.000929236412	
		i_adc_measurements[197]	float32_t	-0.119725861	
		i_adc_measurements[198]	float32_t	-0.0753022656	
		i_adc_measurements[199]	float32_t	-0.0386152342	
	[200...299]	float32_t [100]	0x20001530 <i_adc_measurements+800>	
		i_adc_measurements[200]	float32_t	0.159119278	
